"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"1.4 mi","501","2015996","7880-83-1842","CLOSD","13549 Providence Run RD","23005","Hanover","Residential","Single Family Residence","3","2,465","2.1","2015","$374,950","$370,000","21","08/15/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.5 mi","501","1917523","7880-84-2197","CLOSD","13564 Providence Run RD","23005","Hanover","Residential","Single Family Residence","4","2,685","2.1","2013","$374,950","$374,950","7","07/25/2019","Resale (occupied at least once)","Conventional","Individuals"
"1.7 mi","501","1909390","7880-77-0390","CLOSD","13358 Slayden CIR","23005","Hanover","Residential","Single Family Residence","4","2,346","2.1","2016","$374,950","$365,000","57","06/27/2019","Resale (occupied at least once)","Conventional","Individuals"
"1.8 mi","501","2217673","7870-99-0939","CLOSD","14044 Stanley Park DR","23005","Hanover","Residential","Single Family Residence","3","1,988","2.1","2015","$375,000","$375,000","33","09/02/2022","Resale (occupied at least once)","Conventional","Individuals"
"1.0 mi","501","2209734","7870-50-8972","CLOSD","202 Hanover AVE","23005","Hanover","Residential","Single Family Residence","3","2,452","2.1","1900","$375,000","$328,000","51","08/19/2022","Resale (occupied at least once)","Conventional","Estate"
"3.8 mi","501","2200520","8709-05-6011","CLOSD","8485 Mount Eagle RD","23005","Hanover","Residential","Single Family Residence","2","1,697","2.1","1994","$375,000","$375,000","2","03/11/2022","Resale (occupied at least once)","Conventional","Individuals"
"1.7 mi","501","2127678","7870-46-2348","CLOSD","715 Chapman ST","23005","Hanover","Residential","Single Family Residence","4","2,548","2.1","1976","$375,000","$355,000","40","11/17/2021","Resale (occupied at least once)","Conventional","Individuals"
"3.5 mi","501","2125612","7778-53-9312","CLOSD","11299 Caruthers WAY","23059","Hanover","Residential","Single Family Residence","4","2,332","2.1","2003","$375,000","$390,000","5","10/14/2021","Resale (occupied at least once)","Conventional","Individuals"
"2.9 mi","501","2125257","7769-73-7352","CLOSD","12168 Melton RD","23005","Hanover","Residential","Single Family Residence","4","2,076","2.1","1984","$375,000","$402,500","3","10/14/2021","Resale (occupied at least once)","Conventional","Individuals"
"3.5 mi","501","2124498","7778-62-8823","CLOSD","11481 New Town CT","23059","Hanover","Residential","Single Family Residence","4","2,322","2.1","2002","$375,000","$390,000","3","09/13/2021","Resale (occupied at least once)","Conventional","Individuals"
"3.2 mi","501","2109320","7778-45-4292","CLOSD","11266 Tyson TRL","23005","Hanover","Residential","Single Family Residence","3","2,628","3.1","1988","$375,000","$365,000","14","05/28/2021","Resale (occupied at least once)","Conventional","Individuals"
