FY,County_Name,avg_mort_rate,80pctami,affordable_monthly_pymnt_80pctami,max_home_price_80pctAMI,total_sales_80pctami,total_sales_all,starter_homes_pct
2013,Emporia city,0.0398,33050,771,"167,791",2,2,1.00
2013,Essex County,0.0398,35950,839,"182,514",41,72,0.57
2013,Fairfax city,0.0398,53400,"1,246","271,105",49,347,0.14
2013,Fairfax County,0.0398,53400,"1,246","271,105","1,983","15,016",0.13
2013,Falls Church city,0.0398,53400,"1,246","271,105",15,189,0.08
2013,Fauquier County,0.0398,53400,"1,246","271,105",343,976,0.35
2013,Floyd County,0.0398,34500,805,"175,152",74,102,0.73
2013,Fluvanna County,0.0398,49600,"1,157","251,813",275,353,0.78
2013,Franklin city,0.0398,36400,849,"184,798",72,93,0.77
2013,Franklin County,0.0398,36100,842,"183,275",280,575,0.49
2013,Frederick County,0.0398,42050,981,"213,483",623,"1,207",0.52
2013,Fredericksburg city,0.0398,53400,"1,246","271,105",128,238,0.54
2013,Galax city,0.0398,33050,771,"167,791",43,51,0.84
2013,Giles County,0.0398,33300,777,"169,060",105,138,0.76
2013,Gloucester County,0.0398,46950,"1,096","238,359",266,459,0.58
2013,Goochland County,0.0398,47300,"1,104","240,136",81,243,0.33
2013,Grayson County,0.0398,33050,771,"167,791",47,63,0.75
2013,Greene County,0.0398,49600,"1,157","251,813",132,215,0.61
2013,Greensville County,0.0398,33050,771,"167,791",13,14,0.93
2013,Halifax County,0.0398,33050,771,"167,791",119,138,0.86
2013,Hampton city,0.0398,46950,"1,096","238,359","1,256","1,458",0.86
2013,Hanover County,0.0398,47300,"1,104","240,136",653,"1,337",0.49
2013,Harrisonburg city,0.0398,38000,887,"192,921",258,384,0.67
2013,Henrico County,0.0398,47300,"1,104","240,136","2,523","4,177",0.60
2013,Henry County,0.0398,33050,771,"167,791",220,249,0.88
2013,Highland County,0.0398,35000,817,"177,691",8,9,0.89
2013,Hopewell city,0.0398,47300,"1,104","240,136",233,245,0.95
2013,Isle of Wight County,0.0398,46950,"1,096","238,359",181,408,0.44
2013,James City County,0.0398,46950,"1,096","238,359",453,"1,402",0.32
2013,King and Queen County,0.0398,47300,"1,104","240,136",49,59,0.83
2013,King George County,0.0398,51550,"1,203","261,713",127,264,0.48
2013,King William County,0.0398,47300,"1,104","240,136",154,182,0.85
2013,Lancaster County,0.0398,37450,874,"190,129",40,124,0.32
2013,Lee County,0.0398,33050,771,"167,791",1,1,1.00
2013,Lexington city,0.0398,35400,826,"179,721",20,61,0.33
2013,Loudoun County,0.0398,53400,"1,246","271,105",808,"6,465",0.12
2013,Louisa County,0.0398,42650,995,"216,529",313,491,0.64
2013,Lunenburg County,0.0398,33050,771,"167,791",14,17,0.82
2013,Lynchburg city,0.0398,37050,865,"188,098",602,798,0.75
2013,Madison County,0.0398,44350,"1,035","225,160",83,133,0.62
2013,Manassas city,0.0398,53400,"1,246","271,105",358,607,0.59
2013,Manassas Park city,0.0398,53400,"1,246","271,105",156,214,0.73
2013,Martinsville city,0.0398,33050,771,"167,791",142,155,0.92
2013,Mathews County,0.0398,46950,"1,096","238,359",66,106,0.62
2013,Mecklenburg County,0.0398,33050,771,"167,791",45,88,0.51
2013,Middlesex County,0.0398,43200,"1,008","219,321",70,137,0.51
2013,Montgomery County,0.0398,44050,"1,028","223,636",558,919,0.61
2013,Nelson County,0.0398,49600,"1,157","251,813",143,263,0.54
2013,New Kent County,0.0398,47300,"1,104","240,136",175,310,0.56
2013,Newport News city,0.0398,46950,"1,096","238,359","1,410","1,669",0.84
2013,Norfolk city,0.0398,46950,"1,096","238,359","1,994","2,624",0.76
2013,Northampton County,0.0398,33050,771,"167,791",56,93,0.60
2013,Northumberland County,0.0398,41400,966,"210,183",39,103,0.38
2013,Norton city,0.0398,33050,771,"167,791",1,1,1.00
2013,Nottoway County,0.0398,33050,771,"167,791",41,49,0.84
2013,Orange County,0.0398,43450,"1,014","220,590",358,508,0.70
2013,Page County,0.0398,35100,819,"178,198",134,186,0.72
2013,Patrick County,0.0398,33050,771,"167,791",58,77,0.75
2013,Petersburg city,0.0398,47300,"1,104","240,136",196,197,0.99
2013,Pittsylvania County,0.0398,33050,771,"167,791",156,195,0.80
2013,Poquoson city,0.0398,46950,"1,096","238,359",53,120,0.44
2013,Portsmouth city,0.0398,46950,"1,096","238,359","1,185","1,259",0.94
2013,Powhatan County,0.0398,47300,"1,104","240,136",175,301,0.58
2013,Prince Edward County,0.0398,33950,792,"172,360",37,67,0.55
2013,Prince George County,0.0398,47300,"1,104","240,136",172,219,0.79
2013,Prince William County,0.0398,53400,"1,246","271,105","2,493","6,561",0.38
2013,Pulaski County,0.0398,33300,777,"169,060",190,257,0.74
2013,Radford city,0.0398,44050,"1,028","223,636",95,109,0.87
2013,Rappahannock County,0.0398,49950,"1,166","253,590",30,67,0.45
2013,Richmond city,0.0398,47300,"1,104","240,136","1,628","2,500",0.65
2013,Richmond County,0.0398,39600,924,"201,044",22,33,0.67
2013,Roanoke city,0.0398,40750,951,"206,883",951,"1,128",0.84
2013,Roanoke County,0.0398,40750,951,"206,883",779,"1,281",0.61
2013,Rockbridge County,0.0398,35400,826,"179,721",87,182,0.48
2013,Rockingham County,0.0398,38000,887,"192,921",357,687,0.52
2013,Russell County,0.0398,33050,771,"167,791",37,50,0.74
2013,Salem city,0.0398,40750,951,"206,883",202,267,0.76
2013,Scott County,0.0398,31200,728,"158,399",2,3,0.67
2013,Shenandoah County,0.0398,41750,974,"211,960",408,532,0.77
2013,Smyth County,0.0398,33050,771,"167,791",81,99,0.82
2013,Southampton County,0.0398,36400,849,"184,798",82,112,0.73
2013,Spotsylvania County,0.0398,53400,"1,246","271,105","1,182","1,743",0.68
2013,Stafford County,0.0398,53400,"1,246","271,105",875,"1,924",0.45
2013,Staunton city,0.0398,40150,937,"203,837",309,397,0.78
2013,Suffolk city,0.0398,46950,"1,096","238,359",754,"1,354",0.56
2013,Surry County,0.0398,46950,"1,096","238,359",43,48,0.90
2013,Sussex County,0.0398,47300,"1,104","240,136",49,51,0.96
2013,Tazewell County,0.0398,33050,771,"167,791",91,108,0.84
2013,Virginia Beach city,0.0398,46950,"1,096","238,359","3,190","6,133",0.52
2013,Warren County,0.0398,49200,"1,148","249,782",528,672,0.79
2013,Washington County,0.0398,31200,728,"158,399",0,294,0.00
2013,Waynesboro city,0.0398,40150,937,"203,837",248,328,0.76
2013,Westmoreland County,0.0398,40600,947,"206,121",150,207,0.72
2013,Williamsburg city,0.0398,46950,"1,096","238,359",53,129,0.41
2013,Winchester city,0.0398,42050,981,"213,483",192,303,0.63
2013,Wise County,0.0398,33050,771,"167,791",7,7,1.00
2013,Wythe County,0.0398,33050,771,"167,791",102,135,0.76
2013,York County,0.0398,46950,"1,096","238,359",333,786,0.42
2014,Accomack County,0.0417,33750,788,"167,482",161,256,0.63
2014,Albemarle County,0.0417,51150,"1,194","253,828",463,"1,464",0.32
2014,Alexandria city,0.0417,54800,"1,279","271,941",510,"2,281",0.22
2014,Alleghany County,0.0417,34800,812,"172,692",32,41,0.78
2014,Amelia County,0.0417,46650,"1,089","231,497",100,122,0.82
2014,Amherst County,0.0417,38750,904,"192,294",195,247,0.79
2014,Appomattox County,0.0417,38750,904,"192,294",100,125,0.80
2014,Arlington County,0.0417,54800,"1,279","271,941",313,"2,776",0.11
2014,Augusta County,0.0417,38200,891,"189,565",475,926,0.51
2014,Bath County,0.0417,35800,835,"177,655",13,16,0.81
